time,Chlorophyll_a,Chlorophyll_a_NDCI,Turbidity_FNU,TSS,CDOM,Secchi_Depth,FAI
2023-01,193.11185,65.68601,42.358635,217.59363,78.011375,2.1370974,0.06852697
2023-02,222.4856,79.089485,83.91253,249.72316,98.57121,2.3090296,0.110944994
2023-03,156.01382,46.047447,141.63646,383.9154,70.943214,2.0916598,0.10327898
2023-04,178.50644,59.068733,90.373474,321.45892,72.65369,2.1058445,0.18807775
2023-05,185.86137,63.22498,20.153759,220.03748,94.38262,2.278885,0.17990804
2023-08,154.49234,45.367306,20.505379,233.51875,52.454082,1.9163085,0.069619
2023-10,202.92935,72.79298,15.568051,192.79758,74.91989,2.1276922,0.077651
2023-11,218.85445,80.981415,10.827679,154.60252,95.57631,2.2924883,0.10678656
2023-12,226.89742,84.70109,10.57011,150.30238,83.60692,2.201416,0.1252199
2024-01,193.42049,67.256355,10.831519,151.32066,90.900246,2.2542193,0.07830495
2024-02,194.48647,67.05969,30.86963,179.82974,118.62128,2.4545164,0.13962056
2024-03,187.64789,63.61316,51.886993,236.5112,85.93327,2.2170887,0.1720559
2024-04,203.09084,71.232956,75.16625,268.99332,92.10289,2.2620623,0.19201624
2024-05,281.84476,78.019775,110.64871,337.41943,229.15517,2.7323458,0.16901575
2024-06,176.24371,56.917305,73.68349,327.2724,75.61583,2.1270034,0.21893588
2024-09,205.63475,72.198616,14.571605,175.99208,80.86181,2.1536489,0.2363167
2024-10,193.65442,65.54374,11.914101,166.27269,55.5467,1.9221612,0.18338211
2024-11,183.47722,60.125717,20.680233,171.51567,59.362885,1.9716787,0.14845254
2024-12,237.51234,88.22691,7.8461976,118.69009,75.66384,2.112587,0.24244677
2025-01,238.65327,89.14414,9.401093,137.90334,86.85851,2.204245,0.21480241
2025-02,247.02846,91.08,9.3812475,129.83466,125.21494,2.4039316,0.22508594
2025-03,213.06113,75.81014,16.086153,177.05379,120.63413,2.4633725,0.22348961
2025-04,249.78265,88.75328,15.561666,179.05954,144.58418,2.6110315,0.2541621
2025-05,215.52501,78.27896,30.11712,203.47012,105.40946,2.3598733,0.2571106
2025-06,184.7122,61.062313,20.561083,206.8277,79.06017,2.1058514,0.19521353
2025-10,146.46431,40.6595,25.507675,247.84848,41.930023,1.7476021,0.1147067
2025-11,172.27388,55.77629,14.2348175,188.86176,56.04237,1.9492378,0.18537927
2025-12,222.87155,81.013504,12.905227,139.83255,89.692535,2.2354434,0.17013586
2026-01,154.66402,45.061623,75.13691,322.59137,83.847595,2.1922474,0.1053637
2026-02,122.65402,26.731817,216.1709,503.29736,59.53881,1.9893639,0.057007622
